Classification_level2,Classification_level1,Type,Gene_number,Percentage,Gene
Aging,Organismal Systems,ALL,4,0.59,EUBIFOR_RS01280; EUBIFOR_RS03075; EUBIFOR_RS04535; EUBIFOR_RS11015
Digestive system,Organismal Systems,ALL,3,0.44,EUBIFOR_RS05640; EUBIFOR_RS05645; EUBIFOR_RS09395
Endocrine system,Organismal Systems,ALL,8,1.18,EUBIFOR_RS00220; EUBIFOR_RS01570; EUBIFOR_RS01910; EUBIFOR_RS04450; EUBIFOR_RS05055; EUBIFOR_RS05060; EUBIFOR_RS09230; EUBIFOR_RS09335
Environmental adaptation,Organismal Systems,ALL,3,0.44,EUBIFOR_RS01570; EUBIFOR_RS09230; EUBIFOR_RS11795
Immune system,Organismal Systems,ALL,2,0.29,EUBIFOR_RS09230; EUBIFOR_RS10110
Nervous system,Organismal Systems,ALL,3,0.44,EUBIFOR_RS06190; EUBIFOR_RS06355; EUBIFOR_RS06360
Amino acid metabolism,Metabolism,ALL,96,14.16,EUBIFOR_RS00055; EUBIFOR_RS00060; EUBIFOR_RS00065; EUBIFOR_RS00070; EUBIFOR_RS00075; EUBIFOR_RS00080; EUBIFOR_RS00220; EUBIFOR_RS00270; EUBIFOR_RS00275; EUBIFOR_RS00280; EUBIFOR_RS00285; EUBIFOR_RS00290; EUBIFOR_RS00295; EUBIFOR_RS00300; EUBIFOR_RS00305; EUBIFOR_RS00310; EUBIFOR_RS00420; EUBIFOR_RS00840; EUBIFOR_RS00850; EUBIFOR_RS01270; EUBIFOR_RS01560; EUBIFOR_RS01665; EUBIFOR_RS02135; EUBIFOR_RS02305; EUBIFOR_RS02330; EUBIFOR_RS02355; EUBIFOR_RS02645; EUBIFOR_RS02925; EUBIFOR_RS02980; EUBIFOR_RS03025; EUBIFOR_RS03030; EUBIFOR_RS04200; EUBIFOR_RS04205; EUBIFOR_RS04210; EUBIFOR_RS04235; EUBIFOR_RS04240; EUBIFOR_RS04245; EUBIFOR_RS04250; EUBIFOR_RS04345; EUBIFOR_RS04450; EUBIFOR_RS04465; EUBIFOR_RS04500; EUBIFOR_RS04820; EUBIFOR_RS04825; EUBIFOR_RS04830; EUBIFOR_RS04965; EUBIFOR_RS05360; EUBIFOR_RS05535; EUBIFOR_RS05640; EUBIFOR_RS05645; EUBIFOR_RS05650; EUBIFOR_RS05665; EUBIFOR_RS05680; EUBIFOR_RS05735; EUBIFOR_RS05855; EUBIFOR_RS06190; EUBIFOR_RS06355; EUBIFOR_RS06360; EUBIFOR_RS06365; EUBIFOR_RS06370; EUBIFOR_RS06375; EUBIFOR_RS06865; EUBIFOR_RS06885; EUBIFOR_RS07065; EUBIFOR_RS07120; EUBIFOR_RS07165; EUBIFOR_RS07205; EUBIFOR_RS07370; EUBIFOR_RS07375; EUBIFOR_RS07390; EUBIFOR_RS07895; EUBIFOR_RS08215; EUBIFOR_RS08240; EUBIFOR_RS08345; EUBIFOR_RS08435; EUBIFOR_RS08470; EUBIFOR_RS08480; EUBIFOR_RS08525; EUBIFOR_RS09010; EUBIFOR_RS09100; EUBIFOR_RS09560; EUBIFOR_RS09810; EUBIFOR_RS10100; EUBIFOR_RS10170; EUBIFOR_RS10760; EUBIFOR_RS10765; EUBIFOR_RS10785; EUBIFOR_RS10790; EUBIFOR_RS10800; EUBIFOR_RS11005; EUBIFOR_RS11045; EUBIFOR_RS11580; EUBIFOR_RS11745; EUBIFOR_RS11800; EUBIFOR_RS11905; EUBIFOR_RS12475
Biosynthesis of other secondary metabolites,Metabolism,ALL,20,2.95,EUBIFOR_RS00055; EUBIFOR_RS00060; EUBIFOR_RS00285; EUBIFOR_RS00560; EUBIFOR_RS00565; EUBIFOR_RS00570; EUBIFOR_RS00575; EUBIFOR_RS00840; EUBIFOR_RS01070; EUBIFOR_RS02135; EUBIFOR_RS02330; EUBIFOR_RS02355; EUBIFOR_RS04250; EUBIFOR_RS06005; EUBIFOR_RS07430; EUBIFOR_RS07895; EUBIFOR_RS09295; EUBIFOR_RS09810; EUBIFOR_RS10430; EUBIFOR_RS11550
Carbohydrate metabolism,Metabolism,ALL,135,19.91,EUBIFOR_RS00110; EUBIFOR_RS00130; EUBIFOR_RS00135; EUBIFOR_RS00145; EUBIFOR_RS00150; EUBIFOR_RS00155; EUBIFOR_RS00165; EUBIFOR_RS00170; EUBIFOR_RS00175; EUBIFOR_RS00190; EUBIFOR_RS00220; EUBIFOR_RS00240; EUBIFOR_RS00245; EUBIFOR_RS00250; EUBIFOR_RS00430; EUBIFOR_RS00625; EUBIFOR_RS00655; EUBIFOR_RS00660; EUBIFOR_RS00705; EUBIFOR_RS00870; EUBIFOR_RS00875; EUBIFOR_RS01070; EUBIFOR_RS01295; EUBIFOR_RS01595; EUBIFOR_RS01615; EUBIFOR_RS01620; EUBIFOR_RS01625; EUBIFOR_RS01635; EUBIFOR_RS01655; EUBIFOR_RS01855; EUBIFOR_RS01860; EUBIFOR_RS01910; EUBIFOR_RS02005; EUBIFOR_RS02030; EUBIFOR_RS02165; EUBIFOR_RS02285; EUBIFOR_RS02290; EUBIFOR_RS02295; EUBIFOR_RS02380; EUBIFOR_RS03225; EUBIFOR_RS03325; EUBIFOR_RS04450; EUBIFOR_RS04680; EUBIFOR_RS04690; EUBIFOR_RS05000; EUBIFOR_RS05055; EUBIFOR_RS05060; EUBIFOR_RS05480; EUBIFOR_RS05640; EUBIFOR_RS05645; EUBIFOR_RS05650; EUBIFOR_RS05665; EUBIFOR_RS05670; EUBIFOR_RS06005; EUBIFOR_RS06055; EUBIFOR_RS06190; EUBIFOR_RS06340; EUBIFOR_RS06355; EUBIFOR_RS06360; EUBIFOR_RS06400; EUBIFOR_RS06405; EUBIFOR_RS06450; EUBIFOR_RS06560; EUBIFOR_RS06685; EUBIFOR_RS06690; EUBIFOR_RS07100; EUBIFOR_RS07215; EUBIFOR_RS07225; EUBIFOR_RS07810; EUBIFOR_RS07820; EUBIFOR_RS07825; EUBIFOR_RS07835; EUBIFOR_RS07845; EUBIFOR_RS07850; EUBIFOR_RS07860; EUBIFOR_RS07880; EUBIFOR_RS07885; EUBIFOR_RS07890; EUBIFOR_RS07900; EUBIFOR_RS07925; EUBIFOR_RS08040; EUBIFOR_RS08045; EUBIFOR_RS08050; EUBIFOR_RS08315; EUBIFOR_RS08480; EUBIFOR_RS09010; EUBIFOR_RS09020; EUBIFOR_RS09025; EUBIFOR_RS09030; EUBIFOR_RS09050; EUBIFOR_RS09120; EUBIFOR_RS09125; EUBIFOR_RS09195; EUBIFOR_RS09285; EUBIFOR_RS09290; EUBIFOR_RS09320; EUBIFOR_RS09325; EUBIFOR_RS09330; EUBIFOR_RS09335; EUBIFOR_RS09340; EUBIFOR_RS09345; EUBIFOR_RS09350; EUBIFOR_RS09355; EUBIFOR_RS09560; EUBIFOR_RS09605; EUBIFOR_RS09680; EUBIFOR_RS09700; EUBIFOR_RS09830; EUBIFOR_RS10040; EUBIFOR_RS10370; EUBIFOR_RS10405; EUBIFOR_RS10410; EUBIFOR_RS10415; EUBIFOR_RS10430; EUBIFOR_RS10445; EUBIFOR_RS10955; EUBIFOR_RS10965; EUBIFOR_RS11085; EUBIFOR_RS11090; EUBIFOR_RS11095; EUBIFOR_RS11105; EUBIFOR_RS11115; EUBIFOR_RS11120; EUBIFOR_RS11130; EUBIFOR_RS11495; EUBIFOR_RS11580; EUBIFOR_RS11670; EUBIFOR_RS11675; EUBIFOR_RS11685; EUBIFOR_RS13150; EUBIFOR_RS13155; EUBIFOR_RS13220; EUBIFOR_RS13225; EUBIFOR_RS13400; EUBIFOR_RS13405
Carbohydrate metabolism,Metabolism,DEG,1,100,EUBIFOR_RS02295
Energy metabolism,Metabolism,ALL,59,8.7,EUBIFOR_RS00100; EUBIFOR_RS00165; EUBIFOR_RS00250; EUBIFOR_RS00420; EUBIFOR_RS00430; EUBIFOR_RS00875; EUBIFOR_RS01270; EUBIFOR_RS01655; EUBIFOR_RS02290; EUBIFOR_RS02295; EUBIFOR_RS02675; EUBIFOR_RS04205; EUBIFOR_RS04210; EUBIFOR_RS04545; EUBIFOR_RS04550; EUBIFOR_RS04555; EUBIFOR_RS04560; EUBIFOR_RS04565; EUBIFOR_RS04570; EUBIFOR_RS04575; EUBIFOR_RS04580; EUBIFOR_RS04690; EUBIFOR_RS04820; EUBIFOR_RS04825; EUBIFOR_RS05000; EUBIFOR_RS05060; EUBIFOR_RS05640; EUBIFOR_RS05645; EUBIFOR_RS06190; EUBIFOR_RS06355; EUBIFOR_RS06360; EUBIFOR_RS06370; EUBIFOR_RS06375; EUBIFOR_RS06450; EUBIFOR_RS06560; EUBIFOR_RS06685; EUBIFOR_RS07065; EUBIFOR_RS07820; EUBIFOR_RS07825; EUBIFOR_RS07880; EUBIFOR_RS07885; EUBIFOR_RS08465; EUBIFOR_RS08665; EUBIFOR_RS08670; EUBIFOR_RS08675; EUBIFOR_RS08680; EUBIFOR_RS08685; EUBIFOR_RS08690; EUBIFOR_RS08695; EUBIFOR_RS09560; EUBIFOR_RS09605; EUBIFOR_RS09825; EUBIFOR_RS09830; EUBIFOR_RS10010; EUBIFOR_RS10445; EUBIFOR_RS11115; EUBIFOR_RS11120; EUBIFOR_RS13220; EUBIFOR_RS13225
Energy metabolism,Metabolism,DEG,1,100,EUBIFOR_RS02295
Glycan biosynthesis and metabolism,Metabolism,ALL,52,7.67,EUBIFOR_RS00185; EUBIFOR_RS00190; EUBIFOR_RS00530; EUBIFOR_RS00560; EUBIFOR_RS00565; EUBIFOR_RS00570; EUBIFOR_RS00575; EUBIFOR_RS00580; EUBIFOR_RS00620; EUBIFOR_RS00630; EUBIFOR_RS00655; EUBIFOR_RS00660; EUBIFOR_RS00705; EUBIFOR_RS00805; EUBIFOR_RS00890; EUBIFOR_RS01080; EUBIFOR_RS01270; EUBIFOR_RS01775; EUBIFOR_RS02100; EUBIFOR_RS02285; EUBIFOR_RS02980; EUBIFOR_RS03215; EUBIFOR_RS04680; EUBIFOR_RS05085; EUBIFOR_RS05165; EUBIFOR_RS05170; EUBIFOR_RS05175; EUBIFOR_RS05380; EUBIFOR_RS05410; EUBIFOR_RS05470; EUBIFOR_RS05520; EUBIFOR_RS05735; EUBIFOR_RS05860; EUBIFOR_RS05865; EUBIFOR_RS06480; EUBIFOR_RS06485; EUBIFOR_RS06490; EUBIFOR_RS06755; EUBIFOR_RS07215; EUBIFOR_RS07285; EUBIFOR_RS08725; EUBIFOR_RS08875; EUBIFOR_RS08965; EUBIFOR_RS08970; EUBIFOR_RS09120; EUBIFOR_RS09290; EUBIFOR_RS09295; EUBIFOR_RS09320; EUBIFOR_RS09865; EUBIFOR_RS10930; EUBIFOR_RS10940; EUBIFOR_RS11165
Lipid metabolism,Metabolism,ALL,19,2.8,EUBIFOR_RS00655; EUBIFOR_RS00660; EUBIFOR_RS00880; EUBIFOR_RS01570; EUBIFOR_RS01735; EUBIFOR_RS02220; EUBIFOR_RS05640; EUBIFOR_RS05645; EUBIFOR_RS05650; EUBIFOR_RS06000; EUBIFOR_RS06135; EUBIFOR_RS07240; EUBIFOR_RS07430; EUBIFOR_RS08480; EUBIFOR_RS08775; EUBIFOR_RS08960; EUBIFOR_RS09860; EUBIFOR_RS10930; EUBIFOR_RS11580
Metabolism of cofactors and vitamins,Metabolism,ALL,59,8.7,EUBIFOR_RS00070; EUBIFOR_RS00340; EUBIFOR_RS00345; EUBIFOR_RS00840; EUBIFOR_RS01180; EUBIFOR_RS01275; EUBIFOR_RS01600; EUBIFOR_RS01680; EUBIFOR_RS02200; EUBIFOR_RS02215; EUBIFOR_RS02580; EUBIFOR_RS02585; EUBIFOR_RS02675; EUBIFOR_RS02940; EUBIFOR_RS03405; EUBIFOR_RS04705; EUBIFOR_RS04820; EUBIFOR_RS04855; EUBIFOR_RS05025; EUBIFOR_RS05120; EUBIFOR_RS05335; EUBIFOR_RS05345; EUBIFOR_RS05700; EUBIFOR_RS05780; EUBIFOR_RS05790; EUBIFOR_RS05815; EUBIFOR_RS06090; EUBIFOR_RS06390; EUBIFOR_RS06430; EUBIFOR_RS06435; EUBIFOR_RS06555; EUBIFOR_RS06565; EUBIFOR_RS06805; EUBIFOR_RS06810; EUBIFOR_RS07345; EUBIFOR_RS07350; EUBIFOR_RS07355; EUBIFOR_RS07430; EUBIFOR_RS07440; EUBIFOR_RS07465; EUBIFOR_RS07560; EUBIFOR_RS08185; EUBIFOR_RS08430; EUBIFOR_RS08435; EUBIFOR_RS08440; EUBIFOR_RS08485; EUBIFOR_RS08490; EUBIFOR_RS08510; EUBIFOR_RS08515; EUBIFOR_RS08805; EUBIFOR_RS09045; EUBIFOR_RS10010; EUBIFOR_RS10360; EUBIFOR_RS10740; EUBIFOR_RS10745; EUBIFOR_RS10750; EUBIFOR_RS10755; EUBIFOR_RS11580; EUBIFOR_RS12260
Metabolism of other amino acids,Metabolism,ALL,20,2.95,EUBIFOR_RS00325; EUBIFOR_RS00845; EUBIFOR_RS01195; EUBIFOR_RS01435; EUBIFOR_RS01880; EUBIFOR_RS02645; EUBIFOR_RS03025; EUBIFOR_RS03030; EUBIFOR_RS04465; EUBIFOR_RS05000; EUBIFOR_RS05650; EUBIFOR_RS06485; EUBIFOR_RS07310; EUBIFOR_RS07375; EUBIFOR_RS08335; EUBIFOR_RS08470; EUBIFOR_RS09830; EUBIFOR_RS09985; EUBIFOR_RS11580; EUBIFOR_RS11905
Metabolism of terpenoids and polyketides,Metabolism,ALL,26,3.83,EUBIFOR_RS00560; EUBIFOR_RS00565; EUBIFOR_RS00570; EUBIFOR_RS00575; EUBIFOR_RS01070; EUBIFOR_RS01895; EUBIFOR_RS02685; EUBIFOR_RS03045; EUBIFOR_RS05450; EUBIFOR_RS05465; EUBIFOR_RS05640; EUBIFOR_RS05645; EUBIFOR_RS05810; EUBIFOR_RS05815; EUBIFOR_RS07465; EUBIFOR_RS07820; EUBIFOR_RS07825; EUBIFOR_RS07880; EUBIFOR_RS07885; EUBIFOR_RS08785; EUBIFOR_RS09295; EUBIFOR_RS09865; EUBIFOR_RS11115; EUBIFOR_RS11120; EUBIFOR_RS11180; EUBIFOR_RS11580
